,POP,UNITS,OCCUPIED,state,county,tract,block,cb_code
8403,0,0,0,6,1,431100,2007,6.00143E+13
8404,0,0,0,6,1,431100,2008,6.00143E+13
8440,879,441,430,6,1,431200,2016,6.00143E+13
8441,0,0,0,6,1,431200,2018,6.00143E+13
8442,0,0,0,6,1,431200,2019,6.00143E+13
8443,71,24,18,6,1,431200,2021,6.00143E+13
8444,0,0,0,6,1,431200,2022,6.00143E+13
8445,5,0,0,6,1,431200,2024,6.00143E+13
8446,0,0,0,6,1,431200,2025,6.00143E+13
8462,0,0,0,6,1,431200,3016,6.00143E+13
8463,613,327,324,6,1,431200,3018,6.00143E+13
8465,0,0,0,6,1,431200,3021,6.00143E+13
8466,53,11,11,6,1,431200,3022,6.00143E+13
8472,0,0,0,6,1,431200,2017,6.00143E+13
8473,0,0,0,6,1,431200,2020,6.00143E+13
8474,0,0,0,6,1,431200,2023,6.00143E+13
8477,402,220,200,6,1,431200,3011,6.00143E+13
8479,0,0,0,6,1,431200,3017,6.00143E+13
9725,57,25,23,6,1,435102,2003,6.00144E+13
9726,0,0,0,6,1,435102,2004,6.00144E+13
9727,47,18,18,6,1,435102,2005,6.00144E+13
9728,24,2,2,6,1,435102,2006,6.00144E+13
9729,0,0,0,6,1,435102,2007,6.00144E+13
9730,109,42,41,6,1,435102,2009,6.00144E+13
9731,0,0,0,6,1,435102,2010,6.00144E+13
9732,0,0,0,6,1,435102,2012,6.00144E+13
9734,0,0,0,6,1,435102,2015,6.00144E+13
9736,0,0,0,6,1,435102,2017,6.00144E+13
9737,74,24,24,6,1,435102,3001,6.00144E+13
9738,64,19,19,6,1,435102,3002,6.00144E+13
9739,132,46,46,6,1,435102,3004,6.00144E+13
9740,405,153,153,6,1,435102,3005,6.00144E+13
9741,254,85,85,6,1,435102,1000,6.00144E+13
9742,812,314,312,6,1,435102,1001,6.00144E+13
9743,0,0,0,6,1,435102,1003,6.00144E+13
9745,76,25,24,6,1,435102,1006,6.00144E+13
9746,164,56,56,6,1,435102,1007,6.00144E+13
9747,113,43,43,6,1,435102,1009,6.00144E+13
9748,0,0,0,6,1,435102,1010,6.00144E+13
9749,175,63,60,6,1,435102,1011,6.00144E+13
9750,0,0,0,6,1,435102,1013,6.00144E+13
9751,161,53,50,6,1,435102,1014,6.00144E+13
9752,0,0,0,6,1,435102,1017,6.00144E+13
9753,0,0,0,6,1,435102,1018,6.00144E+13
9754,0,0,0,6,1,435102,1019,6.00144E+13
9755,1598,128,124,6,1,435102,2000,6.00144E+13
9758,0,0,0,6,1,435102,1016,6.00144E+13
9759,0,0,0,6,1,435102,1002,6.00144E+13
9760,0,0,0,6,1,435102,1005,6.00144E+13
9761,98,31,31,6,1,435102,1008,6.00144E+13
9762,46,9,4,6,1,435102,1012,6.00144E+13
9763,392,185,180,6,1,435102,1015,6.00144E+13
9764,41,60,12,6,1,435102,2008,6.00144E+13
9765,0,0,0,6,1,435102,2011,6.00144E+13
9767,697,263,260,6,1,435102,3000,6.00144E+13
9768,83,31,31,6,1,435102,3003,6.00144E+13
9769,246,91,91,6,1,435102,3006,6.00144E+13
9776,25,2,2,6,1,435103,1008,6.00144E+13
9777,0,0,0,6,1,435103,1010,6.00144E+13
9778,0,0,0,6,1,435103,1011,6.00144E+13
9779,0,0,0,6,1,435103,1012,6.00144E+13
9784,412,148,141,6,1,435103,1019,6.00144E+13
9785,139,45,45,6,1,435103,1020,6.00144E+13
9786,96,27,27,6,1,435103,1021,6.00144E+13
9787,301,78,78,6,1,435103,1022,6.00144E+13
9788,123,30,30,6,1,435103,1023,6.00144E+13
9789,115,36,36,6,1,435103,1024,6.00144E+13
