id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,NightPopulation,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
0,37.63698571688287,-122.05747367552678,951.0,1.0,1932.0,265948.36,177298.91,W1,W,RES1,RES1,1.0,4.0,60014379001021,6001437900,18520,POINT (-122.05747367552678 37.63698571688287),Moderate-Code,
1,37.62344784393455,-122.07625581120799,18.565081950568022,1.0,1970.0,431280.45999999996,287520.31,MH,H,RES2,RES2,1.0,5.0,60014382012002,6001438201,17638,POINT (-122.07625581120799 37.62344784393455),Moderate-Code,
2,37.61843397980206,-122.06720390884945,950.5,2.0,2004.0,628169.79,418779.86,W1,W,RES1,RES1,1.0,2.0,60014382031040,6001438203,20058,POINT (-122.06720390884945 37.61843397980206),High-Code,
3,37.652682858596314,-122.01124119633283,1968.5,2.0,2014.0,1762638.8800000001,1175092.59,W1,W,RES1,RES1,1.0,2.0,60014351031019,6001435103,36818,POINT (-122.01124119633283 37.652682858596314),High-Code,
4,37.64260229352524,-122.08203279708482,2490.217400903679,2.0,1974.0,1570562.03,923860.02,W1,W,RES3,RES3C,5.0,1.0,60014375001001,6001437500,4750,POINT (-122.08203279708482 37.64260229352524),Moderate-Code,
5,37.65395019056227,-122.02784922303071,846.5,2.0,1975.0,951098.7000000001,634065.8,W1,W,RES1,RES1,1.0,2.0,60014351034001,6001435103,5203,POINT (-122.02784922303071 37.65395019056227),High-Code,
6,37.62388646030241,-122.05552170912638,1156.0,1.0,1986.0,372882.89,248588.59,W1,W,RES1,RES1,1.0,2.0,60014382043015,6001438204,11788,POINT (-122.05552170912638 37.62388646030241),High-Code,
7,37.63597114866867,-122.06930703152939,1025.0,1.0,1947.0,331740.94,221160.63,W1,W,RES1,RES1,1.0,5.0,60014377022000,6001437702,3437,POINT (-122.06930703152939 37.63597114866867),Moderate-Code,
8,37.631364511583804,-122.06178710412946,82.23978500682237,1.0,1964.0,9118.747361556465,6079.16490770431,MH,H,RES2,RES2,1.0,0.0,60014382041000,6001438204,2164,POINT (-122.06178710412946 37.631364511583804),Moderate-Code,
9,37.65327989433575,-122.09804725969633,1246.0,1.0,1965.0,405763.47,270508.98,W1,W,RES1,RES1,1.0,3.0,60014368002003,6001436800,25919,POINT (-122.09804725969633 37.65327989433575),Moderate-Code,
