id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,geometry,DesignLevel,HeightClass
0,37.63096561101987,-122.07045990929343,896.0,1.0,1978,331123.34,220748.89,W,W1,RES1,RES1,4,POINT Z (-122.07045990929343 37.63096561101987 0),High-Code,
1,37.621913730217756,-122.0980059069217,1316.0,2.0,2000,1108277.08,738851.39,W,W1,RES1,RES1,2,POINT Z (-122.0980059069217 37.621913730217756 0),High-Code,
2,37.64566596329714,-122.08539198239173,1779.0,1.0,1978,502304.74,334869.83,W,W1,RES1,RES1,4,POINT Z (-122.08539198239173 37.64566596329714 0),High-Code,
3,37.68172464040151,-122.08864628362586,8030.0,2.0,1957,3767011.1100000003,2790378.6,W,W1,RES3E,RES3,61,POINT Z (-122.08864628362586 37.68172464040151 0),Moderate-Code,
4,37.668526271795656,-122.06423994871527,1461.0,1.0,1968,428653.72000000003,285769.15,W,W1,RES1,RES1,2,POINT Z (-122.06423994871527 37.668526271795656 0),Moderate-Code,
5,37.66361905790734,-122.1160749418995,10760.0,2.0,1959,9492990.46,5753327.55,W,W1,REL1,REL1,0,POINT Z (-122.1160749418995 37.66361905790734 0),Moderate-Code,
6,37.634659249552314,-122.06761054112128,1370.0,1.0,1972,268953.75,179302.5,W,W1,RES1,RES1,3,POINT Z (-122.06761054112128 37.634659249552314 0),Moderate-Code,
7,37.656944443425324,-122.07883111114474,960.0,1.0,1958,309881.35,206587.57,W,W1,RES1,RES1,3,POINT Z (-122.07883111114474 37.656944443425324 0),Moderate-Code,
8,37.64093354650006,-122.073379176,3805.0,1.0,1968,976808.55,723561.89,W,W1,RES3B,RES1,14,POINT Z (-122.073379176 37.64093354650006 0),Moderate-Code,
9,37.63005312514892,-122.06321999161202,1160.0,1.0,1978,428686.45999999996,285790.97,W,W1,RES1,RES1,2,POINT Z (-122.06321999161202 37.63005312514892 0),High-Code,
10,37.68268343108544,-122.06134137976385,1052.0,1.0,1962,354090.56,236060.37,W,W1,RES1,RES1,2,POINT Z (-122.06134137976385 37.68268343108544 0),Moderate-Code,
11,37.64608393514295,-122.07288468206872,1614.0,1.0,1958,674489.9400000001,449659.96,W,W1,RES1,RES1,3,POINT Z (-122.07288468206872 37.64608393514295 0),Moderate-Code,
12,37.63953815264078,-122.07497734318393,3067.0,2.0,1968,1457113.5899999999,1079343.4,W,W1,RES3B,RES1,16,POINT Z (-122.07497734318393 37.63953815264078 0),Moderate-Code,
13,37.627574300000646,-122.09754017164859,1186.0,1.0,1972,321266.57,237975.24,C,W1,RES3A,RES1,1,POINT Z (-122.09754017164859 37.627574300000646 0),Moderate-Code,
14,37.65606058703476,-122.08125959893711,720.0,1.0,1958,172719.47,115146.31,W,W1,RES1,RES1,4,POINT Z (-122.08125959893711 37.65606058703476 0),Moderate-Code,
15,37.621776484711596,-122.0752301196977,1700.0,1.0,1963,513566.19000000006,380419.4,S,W1,RES3A,RES1,8,POINT Z (-122.0752301196977 37.621776484711596 0),Moderate-Code,
16,37.65937454344565,-122.11612721050861,500.09,1.0,2000,346214.63,161030.06,C,C2,COM8,COM8,0,POINT Z (-122.11612721050861 37.65937454344565 0),High-Code,Low-Rise
17,37.67070534447919,-122.09332897567847,1028.0,1.0,2008,610039.3500000001,406692.9,W,W1,RES1,RES1,2,POINT Z (-122.09332897567847 37.67070534447919 0),High-Code,
18,37.66555997350006,-122.07399981149996,1178.0,1.0,1968,363532.67,242355.11,W,W1,RES1,RES1,0,POINT Z (-122.07399981149996 37.66555997350006 0),Moderate-Code,
19,37.64937125421184,-122.06975533191132,972.0,1.0,1958,417451.18,278300.79,W,W1,RES1,RES1,2,POINT Z (-122.06975533191132 37.64937125421184 0),Moderate-Code,
20,37.641048743854704,-122.08295616922561,609.5,2.0,1960,376612.77,251075.18,W,W1,RES1,RES1,3,POINT Z (-122.08295616922561 37.641048743854704 0),Moderate-Code,
21,37.64794494900005,-122.11783457449998,999.0,2.0,1984,542265.66,361510.44,W,W1,RES1,RES1,2,POINT Z (-122.11783457449998 37.64794494900005 0),High-Code,
22,37.63535303842776,-122.08065259506809,1030.0,2.0,1958,563509.98,375673.32,W,W1,RES1,RES1,3,POINT Z (-122.08065259506809 37.63535303842776 0),Moderate-Code,
23,37.615330040817945,-122.02914375101142,1175.0,1.0,1960,460433.09,306955.39,W,W1,RES1,RES1,3,POINT Z (-122.02914375101142 37.615330040817945 0),Moderate-Code,
24,37.66411274377493,-122.07049682866273,1936.0,1.0,1973,439414.6,292943.07,W,W1,RES1,RES1,3,POINT Z (-122.07049682866273 37.66411274377493 0),Moderate-Code,
25,37.673788875237015,-122.08880392489644,2972.0,1.0,1975,729109.85,540081.37,W,W1,RES3B,RES1,6,POINT Z (-122.08880392489644 37.673788875237015 0),High-Code,
26,37.63057493071026,-122.07901088201282,1000.0,1.0,1963,338658.69,225772.46,W,W1,RES1,RES1,4,POINT Z (-122.07901088201282 37.63057493071026 0),Moderate-Code,
27,37.61291830876918,-122.0946467774199,1145.5,2.0,2000,1008589.93,672393.29,W,W1,RES1,RES1,4,POINT Z (-122.0946467774199 37.61291830876918 0),High-Code,
28,37.65819430628071,-122.0767240065424,1178.0,1.0,1958,451020.77,273345.92,W,W1,REL1,REL1,2,POINT Z (-122.0767240065424 37.65819430628071 0),Moderate-Code,
29,37.64240230298243,-122.07549921680972,903.5,2.0,1960,490309.9,326873.27,W,W1,RES1,RES1,3,POINT Z (-122.07549921680972 37.64240230298243 0),Moderate-Code,
30,37.665463857337265,-122.10361426122547,859.0,2.0,1972,552921.9299999999,368614.62,W,W1,RES1,RES1,2,POINT Z (-122.10361426122547 37.665463857337265 0),Moderate-Code,
31,37.653067500050554,-122.09526637305886,1375.0,1.0,1966,437794.78,291863.19,W,W1,RES1,RES1,2,POINT Z (-122.09526637305886 37.653067500050554 0),Moderate-Code,
32,37.66627172702283,-122.12088073337601,15595.935,2.0,2000,23540348.75,9608305.61,W,W2,COM7,COM7,2,POINT Z (-122.12088073337601 37.66627172702283 0),High-Code,
