,POP,UNITS,OCCUPIED,state,county,tract,block,cb_code
8403,0,0,0,06,001,431100,2007,060014311002007
8404,0,0,0,06,001,431100,2008,060014311002008
8440,879,441,430,06,001,431200,2016,060014312002016
8441,0,0,0,06,001,431200,2018,060014312002018
8442,0,0,0,06,001,431200,2019,060014312002019
8443,71,24,18,06,001,431200,2021,060014312002021
8444,0,0,0,06,001,431200,2022,060014312002022
8445,5,0,0,06,001,431200,2024,060014312002024
8446,0,0,0,06,001,431200,2025,060014312002025
8462,0,0,0,06,001,431200,3016,060014312003016
8463,613,327,324,06,001,431200,3018,060014312003018
8465,0,0,0,06,001,431200,3021,060014312003021
8466,53,11,11,06,001,431200,3022,060014312003022
8472,0,0,0,06,001,431200,2017,060014312002017
8473,0,0,0,06,001,431200,2020,060014312002020
8474,0,0,0,06,001,431200,2023,060014312002023
8477,402,220,200,06,001,431200,3011,060014312003011
8479,0,0,0,06,001,431200,3017,060014312003017
9725,57,25,23,06,001,435102,2003,060014351022003
9726,0,0,0,06,001,435102,2004,060014351022004
9727,47,18,18,06,001,435102,2005,060014351022005
9728,24,2,2,06,001,435102,2006,060014351022006
9729,0,0,0,06,001,435102,2007,060014351022007
9730,109,42,41,06,001,435102,2009,060014351022009
9731,0,0,0,06,001,435102,2010,060014351022010
9732,0,0,0,06,001,435102,2012,060014351022012
9734,0,0,0,06,001,435102,2015,060014351022015
9736,0,0,0,06,001,435102,2017,060014351022017
9737,74,24,24,06,001,435102,3001,060014351023001
9738,64,19,19,06,001,435102,3002,060014351023002
9739,132,46,46,06,001,435102,3004,060014351023004
9740,405,153,153,06,001,435102,3005,060014351023005
9741,254,85,85,06,001,435102,1000,060014351021000
9742,812,314,312,06,001,435102,1001,060014351021001
9743,0,0,0,06,001,435102,1003,060014351021003
9745,76,25,24,06,001,435102,1006,060014351021006
9746,164,56,56,06,001,435102,1007,060014351021007
9747,113,43,43,06,001,435102,1009,060014351021009
9748,0,0,0,06,001,435102,1010,060014351021010
9749,175,63,60,06,001,435102,1011,060014351021011
9750,0,0,0,06,001,435102,1013,060014351021013
9751,161,53,50,06,001,435102,1014,060014351021014
9752,0,0,0,06,001,435102,1017,060014351021017
9753,0,0,0,06,001,435102,1018,060014351021018
9754,0,0,0,06,001,435102,1019,060014351021019
9755,1598,128,124,06,001,435102,2000,060014351022000
9758,0,0,0,06,001,435102,1016,060014351021016
9759,0,0,0,06,001,435102,1002,060014351021002
9760,0,0,0,06,001,435102,1005,060014351021005
9761,98,31,31,06,001,435102,1008,060014351021008
9762,46,9,4,06,001,435102,1012,060014351021012
9763,392,185,180,06,001,435102,1015,060014351021015
9764,41,60,12,06,001,435102,2008,060014351022008
9765,0,0,0,06,001,435102,2011,060014351022011
