,POP,UNITS,OCCUPIED,state,county,tract,block,cb_code
8412,0,0,0,06,001,431100,2007,060014311002007
8413,0,0,0,06,001,431100,2008,060014311002008
8419,0,0,0,06,001,431200,2017,060014312002017
8420,0,0,0,06,001,431200,2020,060014312002020
8421,0,0,0,06,001,431200,2023,060014312002023
8424,402,220,200,06,001,431200,3011,060014312003011
8426,0,0,0,06,001,431200,3017,060014312003017
8453,879,441,430,06,001,431200,2016,060014312002016
8454,0,0,0,06,001,431200,2018,060014312002018
8455,0,0,0,06,001,431200,2019,060014312002019
8456,71,24,18,06,001,431200,2021,060014312002021
8457,0,0,0,06,001,431200,2022,060014312002022
8458,5,0,0,06,001,431200,2024,060014312002024
8459,0,0,0,06,001,431200,2025,060014312002025
8475,0,0,0,06,001,431200,3016,060014312003016
8476,613,327,324,06,001,431200,3018,060014312003018
8478,0,0,0,06,001,431200,3021,060014312003021
8479,53,11,11,06,001,431200,3022,060014312003022
9725,0,0,0,06,001,435102,1002,060014351021002
9726,0,0,0,06,001,435102,1005,060014351021005
9727,98,31,31,06,001,435102,1008,060014351021008
9728,46,9,4,06,001,435102,1012,060014351021012
9729,392,185,180,06,001,435102,1015,060014351021015
9730,41,60,12,06,001,435102,2008,060014351022008
9731,0,0,0,06,001,435102,2011,060014351022011
9733,697,263,260,06,001,435102,3000,060014351023000
9734,83,31,31,06,001,435102,3003,060014351023003
9735,246,91,91,06,001,435102,3006,060014351023006
9736,57,25,23,06,001,435102,2003,060014351022003
9737,0,0,0,06,001,435102,2004,060014351022004
9738,47,18,18,06,001,435102,2005,060014351022005
9739,24,2,2,06,001,435102,2006,060014351022006
9740,0,0,0,06,001,435102,2007,060014351022007
9741,109,42,41,06,001,435102,2009,060014351022009
9742,0,0,0,06,001,435102,2010,060014351022010
9743,0,0,0,06,001,435102,2012,060014351022012
9745,0,0,0,06,001,435102,2015,060014351022015
9747,0,0,0,06,001,435102,2017,060014351022017
9748,74,24,24,06,001,435102,3001,060014351023001
9749,64,19,19,06,001,435102,3002,060014351023002
9750,132,46,46,06,001,435102,3004,060014351023004
9751,405,153,153,06,001,435102,3005,060014351023005
9752,254,85,85,06,001,435102,1000,060014351021000
9753,812,314,312,06,001,435102,1001,060014351021001
9754,0,0,0,06,001,435102,1003,060014351021003
9756,76,25,24,06,001,435102,1006,060014351021006
9757,164,56,56,06,001,435102,1007,060014351021007
9758,113,43,43,06,001,435102,1009,060014351021009
9759,0,0,0,06,001,435102,1010,060014351021010
9760,175,63,60,06,001,435102,1011,060014351021011
9761,0,0,0,06,001,435102,1013,060014351021013
9762,161,53,50,06,001,435102,1014,060014351021014
9763,0,0,0,06,001,435102,1017,060014351021017
9764,0,0,0,06,001,435102,1018,060014351021018
9765,0,0,0,06,001,435102,1019,060014351021019
9766,1598,128,124,06,001,435102,2000,060014351022000
9769,0,0,0,06,001,435102,1016,060014351021016
9772,0,0,0,06,001,435103,1009,060014351031009
9773,20,4,4,06,001,435103,1013,060014351031013
9780,116,33,33,06,001,435103,1049,060014351031049
9795,119,40,31,06,001,435103,4001,060014351034001
9796,216,89,89,06,001,435103,4004,060014351034004
9803,25,2,2,06,001,435103,1008,060014351031008
9804,0,0,0,06,001,435103,1010,060014351031010
9805,0,0,0,06,001,435103,1011,060014351031011
9806,0,0,0,06,001,435103,1012,060014351031012
9811,412,148,141,06,001,435103,1019,060014351031019
9812,139,45,45,06,001,435103,1020,060014351031020
9813,96,27,27,06,001,435103,1021,060014351031021
9814,301,78,78,06,001,435103,1022,060014351031022
9815,123,30,30,06,001,435103,1023,060014351031023
9816,115,36,36,06,001,435103,1024,060014351031024
9817,0,0,0,06,001,435103,1025,060014351031025
9818,0,0,0,06,001,435103,1026,060014351031026
9822,0,0,0,06,001,435103,1030,060014351031030
9826,0,0,0,06,001,435103,1035,060014351031035
9835,121,32,32,06,001,435103,1048,060014351031048
9884,682,248,247,06,001,435103,4000,060014351034000
9885,59,15,15,06,001,435103,4002,060014351034002
9886,90,23,23,06,001,435103,4003,060014351034003
9887,105,34,34,06,001,435103,4005,060014351034005
9888,214,80,78,06,001,435103,4006,060014351034006
9889,279,101,101,06,001,435103,4007,060014351034007
9890,133,38,32,06,001,435103,4008,060014351034008
9891,54,18,15,06,001,435103,4009,060014351034009
9892,106,27,27,06,001,435103,4010,060014351034010
9893,206,77,77,06,001,435103,4011,060014351034011
9896,0,0,0,06,001,435103,4014,060014351034014
9900,0,0,0,06,001,435103,4018,060014351034018
9901,0,0,0,06,001,435103,4019,060014351034019
9904,0,0,0,06,001,435104,1018,060014351041018
9905,37,15,13,06,001,435104,1021,060014351041021
9906,82,23,20,06,001,435104,2002,060014351042002
9907,84,24,24,06,001,435104,2006,060014351042006
9908,0,0,0,06,001,435104,3001,060014351043001
9909,449,132,132,06,001,435104,3004,060014351043004
9910,933,418,291,06,001,435104,4001,060014351044001
9911,0,0,0,06,001,435104,4004,060014351044004
9912,51,10,5,06,001,435104,1007,060014351041007
9913,713,280,265,06,001,435104,1008,060014351041008
9914,656,291,287,06,001,435104,1009,060014351041009
9915,242,75,71,06,001,435104,1010,060014351041010
9916,215,110,110,06,001,435104,1011,060014351041011
9917,0,0,0,06,001,435104,1012,060014351041012
9918,73,23,17,06,001,435104,1013,060014351041013
9919,101,34,29,06,001,435104,1014,060014351041014
9920,381,203,176,06,001,435104,1015,060014351041015
9921,36,2,1,06,001,435104,1016,060014351041016
9922,96,62,62,06,001,435104,1017,060014351041017
9923,65,25,25,06,001,435104,1019,060014351041019
9924,77,24,22,06,001,435104,1020,060014351041020
9925,187,51,51,06,001,435104,2000,060014351042000
9926,59,14,12,06,001,435104,2001,060014351042001
9927,89,23,23,06,001,435104,2003,060014351042003
9928,87,23,23,06,001,435104,2004,060014351042004
9929,225,85,85,06,001,435104,2005,060014351042005
9930,59,13,10,06,001,435104,2007,060014351042007
9931,0,0,0,06,001,435104,3000,060014351043000
9932,1422,663,612,06,001,435104,3002,060014351043002
9933,0,0,0,06,001,435104,3003,060014351043003
9934,0,0,0,06,001,435104,3005,060014351043005
9935,0,0,0,06,001,435104,3006,060014351043006
9936,0,0,0,06,001,435104,4000,060014351044000
9937,0,0,0,06,001,435104,4002,060014351044002
9938,794,315,273,06,001,435104,4003,060014351044003
9939,0,0,0,06,001,435104,4005,060014351044005
