OBJECTID,MHPID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,UNITS,SIZE,REVGEOFLAG,CensusBlock,CensusTract,geometry_wkt
7745,7916,A ST TP,280 WEST A ST,HAYWARD,CA,94541,NOT AVAILABLE,(510) 785-9313,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.66630332700004,-122.10434328499997,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,37,SMALL (<50),NO,060014367002020,06001436700,POINT (-122.1043432849999988 37.6663033269999943)
7748,7919,NEW ENGLAND VILLAGE,940 NEW ENGLAND VILLAGE DR,HAYWARD,CA,94544,NOT AVAILABLE,(510) 785-4511,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.62350027700006,-122.05932936799996,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,415,LARGE (>100),NO,060014382043007,06001438204,POINT (-122.0593293680000073 37.6235002770000904)
7749,7920,GEORGIAN MANOR MHP,1419 BUCKINGHAM WAY,HAYWARD,CA,94544,NOT AVAILABLE,(510) 785-2212,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.620809345000055,-122.06966622999994,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,265,LARGE (>100),NO,060014382031047,06001438203,POINT (-122.0696662299999957 37.6208093449999978)
7750,7921,SPANISH RANCH 1,28400 GRANADA CIR,HAYWARD,CA,94544,NOT AVAILABLE,(510) 783-5535,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.62429373400005,-122.07524978599997,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,462,LARGE (>100),NO,060014382012000,06001438201,POINT (-122.0752497860000005 37.6242937339999983)
7751,7922,SPANISH RANCH II,121 RANCHERO WAY,HAYWARD,CA,94544,NOT AVAILABLE,(510) 886-4646,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.63261271500005,-122.05816027599997,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,187,LARGE (>100),NO,060014382042008,06001438204,POINT (-122.0581602760000095 37.6326127150000005)
7752,7923,CONTINENTAL MP,28606 HUNTWOOD AVE,HAYWARD,CA,94544,NOT AVAILABLE,(510) 783-0150,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.630251187000056,-122.06214798599996,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,198,LARGE (>100),NO,060014382041009,06001438204,POINT (-122.0621479859999994 37.6302511870001055)
7753,7924,EDEN ROC MHP,28362 BRADSHIRE RD,HAYWARD,CA,94545,NOT AVAILABLE,(510) 782-9721,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.61956926700003,-122.08949445999997,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,200,LARGE (>100),NO,060014384002017,06001438400,POINT (-122.0894944600000116 37.6195692669999957)
7754,7925,HAYWARD MOBILE CC,1200 W WINTON AVE,HAYWARD,CA,94545,NOT AVAILABLE,(510) 783-9500,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.653026916000044,-122.11381748699995,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,238,LARGE (>100),NO,060014372001007,06001437200,POINT (-122.1138174870000057 37.6530269160000088)
7755,7926,EDEN GARDENS ESTATES,1150 W WINTON AVE,HAYWARD,CA,94545,NOT AVAILABLE,(510) 783-4433,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.65301336500005,-122.11314981899994,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,129,LARGE (>100),NO,060014372001007,06001437200,POINT (-122.1131498190000002 37.6530133649999925)
7756,7927,PUEBLO SPRINGS MHP,27930 PUEBLO SPRINGS,HAYWARD,CA,94545,NOT AVAILABLE,(510) 786-2791,MOBILE HOME PARK,OPEN,ALAMEDA,06001,USA,37.624002322000024,-122.09766206999996,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,"Wed, 06 Jun 2018 00:00:00 GMT",IMAGERY ONLY,"Thu, 25 Jul 2013 00:00:00 GMT",NOT AVAILABLE,137,LARGE (>100),NO,060014371012015,06001437101,POINT (-122.0976620699999984 37.6240023219999955)
