id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,NightPopulation,DayPopulation,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
0,37.63460380379628,-122.10670290625934,1386.7767900006543,1.0,1959.0,347238.154,231492.103,W1,W,RES1,RES1,1.0,4.0,3.0,60014372003008,6001437200,34686,POINT (-122.10670290625934 37.63460380379628),Moderate-Code,
1,37.616344081680644,-122.02778592997514,3126.0,1.0,1980.0,764571.991,509714.661,W1,W,RES1,RES1,1.0,4.0,2.0,60014380002012,6001438000,30590,POINT (-122.02778592997514 37.616344081680644),High-Code,
2,37.648232399882914,-122.03890030213165,1217.3333333333333,2.0,1988.0,471171.982,314114.655,W1,W,RES1,RES1,1.0,1.0,1.0,60014351031053,6001435103,28646,POINT (-122.03890030213165 37.648232399882914),High-Code,
3,37.61376283853556,-122.09185512068741,1446.2659965092032,2.0,2011.0,533139.0970000001,355426.065,W1,W,RES1,RES1,1.0,0.0,0.0,60014371011096,6001437101,9033,POINT (-122.09185512068741 37.61376283853556),High-Code,
4,37.643231698146764,-122.12426924305674,89500.0,1.0,1980.0,22226255.8,11113127.9,RM1,M,COM2,COM2,10.0,4.0,64.0,60014371011047,6001437101,16825,POINT (-122.12426924305674 37.643231698146764),High-Code,Low-Rise
5,37.65792892534345,-122.08056178211956,1589.0,1.0,1951.0,290523.30460000003,193682.203,W1,W,RES1,RES1,1.0,4.0,2.0,60014366011004,6001436601,21095,POINT (-122.08056178211956 37.65792892534345),Moderate-Code,
6,37.659537145627226,-122.05763929757569,25873.0,1.0,1983.0,5470676.52,2735338.26,C2,C,EDU2,EDU2,0.0,2.0,437.0,60014351022017,6001435102,25448,POINT (-122.05763929757569 37.659537145627226),High-Code,Low-Rise
7,37.62722371193032,-122.03847264654942,1850.0,1.0,1960.0,468074.79,312049.86,W1,W,RES1,RES1,1.0,4.0,3.0,60014380001001,6001438000,17927,POINT (-122.03847264654942 37.62722371193032),Moderate-Code,
8,37.630237211104735,-122.07984186172493,1000.0,1.0,1955.0,220952.16,147301.44,W1,W,RES1,RES1,1.0,6.0,3.0,60014382011002,6001438201,143,POINT (-122.07984186172493 37.630237211104735),Moderate-Code,
9,37.64629171001762,-122.1156090145926,716.8,3.0,2009.0,341898.21900000004,227932.146,W1,W,RES1,RES1,1.0,3.0,1.0,60014372001041,6001437200,6146,POINT (-122.1156090145926 37.64629171001762),High-Code,
10,37.66404933581538,-122.05984205679087,1386.6666666666667,2.0,1981.0,491076.217,327384.145,W1,W,RES1,RES1,1.0,3.0,2.0,60014351021016,6001435102,5212,POINT (-122.05984205679087 37.66404933581538),High-Code,
11,37.629142870967726,-122.06302556127758,1056.0,1.0,1962.0,228756.87,152504.58,W1,W,RES1,RES1,1.0,3.0,1.0,60014382032024,6001438203,25083,POINT (-122.06302556127758 37.629142870967726),Moderate-Code,
12,37.663216379183176,-122.10244569693715,1268.0,1.0,1950.0,364883.671,243255.781,W1,W,RES1,RES1,1.0,3.0,1.0,60014367002019,6001436700,36620,POINT (-122.10244569693715 37.663216379183176),Moderate-Code,
13,37.668909088363584,-122.07022636754022,1741.6503379262,1.0,1926.0,625089.148,416726.099,W1,W,RES1,RES3A,2.0,1.0,0.0,60014364014005,6001436401,5579,POINT (-122.07022636754022 37.668909088363584),Moderate-Code,
14,37.64405050724133,-122.08161352315828,1145.4428496515627,1.0,1963.0,261920.7273,174613.818,W1,W,RES1,RES1,1.0,4.0,2.0,60014375001001,6001437500,4892,POINT (-122.08161352315828 37.64405050724133),Moderate-Code,
15,37.631964044929056,-122.06003833005514,1115.0,1.0,1970.0,236455.5076,157637.005,W1,W,RES1,RES1,1.0,3.0,2.0,60014382042003,6001438204,7791,POINT (-122.06003833005514 37.631964044929056),Moderate-Code,
16,37.62864198918998,-122.04949182111746,805.3195009054429,1.0,1982.0,256689.0766,171126.051,W1,W,RES1,RES1,1.0,2.0,2.0,60014351042017,6001435104,32863,POINT (-122.04949182111746 37.62864198918998),High-Code,
17,37.647364450911745,-122.07766276061182,870.5,2.0,1992.0,452103.912,301402.608,W1,W,RES1,RES1,1.0,5.0,2.0,60014378001013,6001437800,13114,POINT (-122.07766276061182 37.647364450911745),High-Code,
18,37.612876326483445,-122.08725338802469,1188.5,2.0,2016.0,614696.2710000001,409797.514,W1,W,RES1,RES1,1.0,0.0,0.0,60014371011132,6001437101,37720,POINT (-122.08725338802469 37.612876326483445),High-Code,
19,37.64663703757791,-122.001326720278,16393.0,2.0,2015.0,1990323.888,995161.944,W2,W,COM1,COM1,2.0,1.0,32.0,60014351031017,6001435103,15174,POINT (-122.001326720278 37.64663703757791),High-Code,
20,37.658109513775244,-122.11088968353137,822.735569392361,1.0,1951.0,224356.36810000002,149570.912,W1,W,RES1,RES1,1.0,3.0,1.0,60014369003002,6001436900,316,POINT (-122.11088968353137 37.658109513775244),Moderate-Code,
21,37.66420677536548,-122.09848227020109,1594.2497218282074,3.0,2012.0,840429.622,560286.415,W1,W,RES1,RES3B,3.0,2.0,0.0,60014367001004,6001436700,2474,POINT (-122.09848227020109 37.66420677536548),High-Code,
