id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,DayPopulation,geometry,DesignLevel,HeightClass
0,37.642053,-122.09337800000002,1268.0,1,1957,364883.671,243255.781,W,W1,RES1,RES1,4,3,POINT (-122.09337800000002 37.642053),Moderate-Code,
1,37.64566299999999,-122.082107,13924.0,1,1963,3354323.94,1677161.97,M,RM1,COM4,COM4,0,2,POINT (-122.082107 37.64566299999999),Moderate-Code,Low-Rise
2,37.64267400000001,-122.090512,1674.0,1,1956,426208.55700000003,284139.038,W,W1,RES1,RES1,4,2,POINT (-122.090512 37.64267400000001),Moderate-Code,
3,37.64940500000001,-122.114243,1200.88,1,1979,94291.5186,62861.0124,H,MH,RES2,RES2,1,1,POINT (-122.114243 37.64940500000001),High-Code,
4,37.665814,-122.10099600000001,1206.0,1,1955,247331.0355,164887.357,W,W1,RES1,RES1,4,2,POINT (-122.10099600000001 37.665814),Moderate-Code,
5,37.67207100000001,-122.093464,1169.17,1,1966,400807.942,267205.295,W,W1,RES3A,RES3,2,1,POINT (-122.093464 37.67207100000001),Moderate-Code,
6,37.624520000000004,-122.087049,1598.0,1,1964,377920.71400000004,251947.143,M,RM1,RES1,RES1,3,0,POINT (-122.087049 37.624520000000004),Moderate-Code,Low-Rise
7,37.657836,-122.099448,1412.0,1,1955,269746.55429999996,179831.036,M,RM1,RES1,RES1,1,1,POINT (-122.099448 37.657836),Moderate-Code,Low-Rise
8,37.669295000000005,-122.07496,928.0,2,1968,339311.31700000004,226207.545,M,RM1,RES1,RES1,2,1,POINT (-122.07496 37.669295000000005),Moderate-Code,Low-Rise
9,37.681289,-122.085004,422.789473,1,1969,183796.8794,91898.4397,C,PC1,COM1,COM1,0,0,POINT (-122.085004 37.681289),Moderate-Code,
10,37.631244,-122.087467,1119.0,1,1955,300602.076,200401.384,W,W1,RES1,RES1,4,1,POINT (-122.087467 37.631244),Moderate-Code,
11,37.66107999999999,-122.087138,2422.5,1,1981,643256.697,428837.798,W,W1,RES3A,RES3,4,1,POINT (-122.087138 37.66107999999999),High-Code,
12,37.65359699999999,-122.053096,802.935779,1,1983,227939.618,113969.809,S,S1,GOV1,GOV1,0,1,POINT (-122.053096 37.65359699999999),High-Code,Low-Rise
13,37.64726499999999,-122.11683900000001,666.0,3,1979,512590.345,341726.897,W,W1,RES1,RES1,1,1,POINT (-122.11683900000001 37.64726499999999),High-Code,
14,37.65758400000001,-122.023053,1523.0,2,1988,622708.483,415138.989,W,W1,RES1,RES1,3,2,POINT (-122.023053 37.65758400000001),High-Code,
15,37.681668,-122.06967700000001,5600.0,1,1958,1893681.978,1262454.65,W,W1,RES3E,RES3,63,26,POINT (-122.06967700000001 37.681668),Moderate-Code,
16,37.616458999999985,-122.03401400000001,1233.0,1,1956,389332.971,259555.314,W,W1,RES1,RES1,5,2,POINT (-122.03401400000001 37.616458999999985),Moderate-Code,
17,37.64485500000001,-122.073801,1404.0,1,1975,383540.811,255693.874,W,W1,RES1,RES1,3,1,POINT (-122.073801 37.64485500000001),High-Code,
18,37.654574,-122.10252700000001,24375.8571,1,1959,9015718.86,3606287.54,W,W2,COM7,COM7,1,33,POINT (-122.10252700000001 37.654574),Moderate-Code,
19,37.665944,-122.03074400000001,2277.0,1,1971,518526.74700000003,345684.498,W,W1,RES1,RES1,2,1,POINT (-122.03074400000001 37.665944),Moderate-Code,
20,37.653269,-122.09469700000001,1534.0,1,1976,284378.28469999996,189585.523,M,RM1,RES1,RES1,2,1,POINT (-122.09469700000001 37.653269),High-Code,Low-Rise
21,37.62719700000001,-122.038727,1430.0,1,1968,387771.04000000004,258514.027,M,RM1,RES1,RES1,4,3,POINT (-122.038727 37.62719700000001),Moderate-Code,Low-Rise
22,37.656727,-122.07386000000001,1029.42,1,1978,364743.372,243162.248,C,C2,RES3A,RES3,1,0,POINT (-122.07386000000001 37.656727),High-Code,Low-Rise
23,37.653958,-122.07026900000001,10391.6,1,1978,2944483.3,1472241.65,S,S1,COM3,COM3,0,0,POINT (-122.07026900000001 37.653958),High-Code,Low-Rise
24,37.637564999999995,-122.061025,1051.0,1,1955,254858.1798,169905.453,M,RM1,RES1,RES1,3,1,POINT (-122.061025 37.637564999999995),Moderate-Code,Low-Rise
25,37.655214,-122.037634,1147.0,2,1983,560669.844,373779.896,M,RM1,RES1,RES1,4,3,POINT (-122.037634 37.655214),High-Code,Low-Rise
26,37.63666500000001,-122.07180000000001,1500.0,1,1973,473366.704,315577.803,W,W1,RES3A,RES3,3,1,POINT (-122.07180000000001 37.63666500000001),Moderate-Code,
27,37.66393699999999,-122.10092600000002,1380.0,1,1955,266319.97239999997,177546.648,M,RM1,RES1,RES1,4,3,POINT (-122.10092600000002 37.66393699999999),Moderate-Code,Low-Rise
28,37.607211,-122.09604100000001,1942.0,2,2004,839706.354,559804.236,W,W1,RES1,RES1,3,1,POINT (-122.09604100000001 37.607211),High-Code,
29,37.619989,-122.04304200000001,1878.0,1,1956,460389.331,306926.221,W,W1,RES1,RES1,2,1,POINT (-122.04304200000001 37.619989),Moderate-Code,
30,37.620448999999994,-122.06344300000002,2029.17,1,1979,132137.1478,88091.4319,H,MH,RES2,RES2,0,0,POINT (-122.06344300000002 37.620448999999994),High-Code,
31,37.64909999999999,-122.109843,1124.5,2,1979,381004.93200000003,254003.288,W,W1,RES1,RES1,4,3,POINT (-122.109843 37.64909999999999),High-Code,
32,37.62230400000001,-122.068496,2637.0,1,1991,854374.471,569582.981,C,C2,RES3B,RES3,3,2,POINT (-122.068496 37.62230400000001),High-Code,Low-Rise
33,37.634831999999996,-122.069727,927.0,1,1974,212141.8384,141427.892,M,RM1,RES1,RES1,3,1,POINT (-122.069727 37.634831999999996),Moderate-Code,Low-Rise
34,37.62245199999999,-122.07227700000001,1865.98,1,1991,125703.7972,83802.5315,H,MH,RES2,RES2,1,0,POINT (-122.07227700000001 37.62245199999999),High-Code,
35,37.628063999999995,-122.10409900000002,1366.0,1,1956,264947.87559999997,176631.917,W,W1,RES1,RES1,3,1,POINT (-122.10409900000002 37.628063999999995),Moderate-Code,
36,37.636677000000006,-122.127073,30907.5,1,2004,5372071.06,2686035.53,C,C2,COM4,COM4,0,9,POINT (-122.127073 37.636677000000006),High-Code,Low-Rise
37,37.66657500000001,-122.087859,2059.62,1,1991,735893.328,490595.552,W,W1,RES3A,RES3,6,3,POINT (-122.087859 37.66657500000001),High-Code,
38,37.633763,-122.109406,1058.5,2,1959,551133.997,367422.665,M,RM1,RES1,RES1,4,2,POINT (-122.109406 37.633763),Moderate-Code,Low-Rise
39,37.66732199999999,-122.080277,1389.76,1,1978,267260.3971,178173.598,M,RM1,RES1,RES1,6,5,POINT (-122.080277 37.66732199999999),High-Code,Low-Rise
40,37.657156,-122.07423,627.692,1,1978,224271.6393,149514.426,W,W1,RES3B,RES3,0,0,POINT (-122.07423 37.657156),High-Code,
41,37.662663999999985,-122.086609,2137.87,1,1981,580467.034,386978.023,W,W1,RES3A,RES3,3,2,POINT (-122.086609 37.662663999999985),High-Code,
42,37.613978,-122.09091599999999,961.0,2,2004,533139.0970000001,355426.065,W,W1,RES1,RES1,0,0,POINT (-122.09091599999999 37.613978),High-Code,
43,37.635456,-122.107771,1148.0,1,1959,346635.558,231090.372,W,W1,RES1,RES1,4,3,POINT (-122.107771 37.635456),Moderate-Code,
44,37.675935,-122.06807000000002,1725.0,1,1964,435115.449,290076.966,M,RM1,RES1,RES1,1,0,POINT (-122.06807000000002 37.675935),Moderate-Code,Low-Rise
45,37.640794,-122.071621,1104.0,1,1973,201831.73220000003,134554.488,M,RM1,RES1,RES1,4,2,POINT (-122.071621 37.640794),Moderate-Code,Low-Rise
46,37.658158,-122.06971899999999,1341.0,2,1974,422958.56700000004,281972.378,M,RM1,RES1,RES1,3,2,POINT (-122.06971899999999 37.658158),Moderate-Code,Low-Rise
47,37.65005800000001,-122.078755,1453.07,1,1978,562807.018,375204.679,W,W1,RES3A,RES3,4,2,POINT (-122.078755 37.65005800000001),High-Code,
48,37.6469,-122.090314,1085.0,1,1956,383782.506,255855.004,W,W1,RES1,RES1,3,0,POINT (-122.090314 37.6469),Moderate-Code,
49,37.66188700000001,-122.091585,1516.0,1,2011,466184.829,310789.886,W,W1,RES1,RES1,0,0,POINT (-122.091585 37.66188700000001),High-Code,
