id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
0,37.642182526642124,-122.088436491912,1599.0,1.0,1953.0,409088.16000000003,272725.44,W1,W,RES1,1.0,60014374002011.0,6001437400.0,32240.0,POINT (-122.088436491912 37.642182526642124),RES1,Moderate-Code,
1,37.614331653740706,-122.03315903069199,1233.0,1.0,1962.0,315450.72000000003,210300.48,W1,W,RES1,1.0,60014381004005.0,6001438100.0,9981.0,POINT (-122.03315903069199 37.614331653740706),RES1,Moderate-Code,
2,37.65086587987011,-122.09517227829483,1188.0,1.0,1958.0,303937.92,202625.28,W1,W,RES1,1.0,60014368002018.0,6001436800.0,17376.0,POINT (-122.09517227829483 37.65086587987011),RES1,Moderate-Code,
3,37.61754937675071,-122.03852072100337,1161.0,1.0,1956.0,297030.24,198020.16,W1,W,RES1,1.0,60014381003006.0,6001438100.0,37262.0,POINT (-122.03852072100337 37.61754937675071),RES1,Moderate-Code,
4,37.64390372729678,-122.07551566028222,1142.0,1.0,1955.0,292169.27999999997,194779.52,W1,W,RES1,1.0,60014375002013.0,6001437500.0,17954.0,POINT (-122.07551566028222 37.64390372729678),RES1,Moderate-Code,
5,37.652807122630165,-122.06422542491288,1082.0,1.0,1951.0,276818.88,184545.92,W1,W,RES1,1.0,60014365002007.0,6001436500.0,15291.0,POINT (-122.06422542491288 37.652807122630165),RES1,Moderate-Code,
6,37.64829158425801,-122.11758828514758,7278.0,1.0,1968.0,2854249.65,1902833.0999999999,W1,W,RES6,26.0,60014372005006.0,6001437200.0,20595.0,POINT (-122.11758828514758 37.64829158425801),RES6,Moderate-Code,
7,37.64636003571244,-122.09140861009202,1040.0,1.0,1955.0,266073.6,177382.4,W1,W,RES1,1.0,60014374001014.0,6001437400.0,8283.0,POINT (-122.09140861009202 37.64636003571244),RES1,Moderate-Code,
8,37.63894930076251,-122.11292452203578,2096.0,1.0,1960.0,536240.64,357493.76,W1,W,RES1,1.0,60014372004006.0,6001437200.0,18845.0,POINT (-122.11292452203578 37.63894930076251),RES1,Moderate-Code,
9,37.67520597325202,-122.09426695355246,3493.00971113,1.0,1941.0,893651.6044954993,595767.7363303328,W1,W,RES1,1.0,60014355003016.0,6001435500.0,4737.0,POINT (-122.09426695355246 37.67520597325202),RES1,Moderate-Code,
