Station,Latitude,Longitude
0,37.6003,-121.992
1,37.6033,-121.992
2,37.6067,-121.992
3,37.6097,-121.992
4,37.6127,-121.992
5,37.6157,-121.992
6,37.6191,-121.992
7,37.6221,-121.992
8,37.6251,-121.992
9,37.6285,-121.992
10,37.6315,-121.992
11,37.6345,-121.992
12,37.6378,-121.992
13,37.6408,-121.992
14,37.6439,-121.992
15,37.6469,-121.992
16,37.6502,-121.992
17,37.6532,-121.992
18,37.6562,-121.992
19,37.6596,-121.992
20,37.6626,-121.992
21,37.6656,-121.992
22,37.669,-121.992
23,37.672,-121.992
24,37.675,-121.992
25,37.678,-121.992
26,37.6813,-121.992
27,37.6844,-121.992
28,37.6874,-121.992
29,37.6907,-121.992
30,37.6937,-121.992
31,37.6003,-121.998
32,37.6033,-121.998
33,37.6067,-121.998
34,37.6097,-121.998
35,37.6127,-121.998
36,37.6157,-121.998
37,37.6191,-121.998
38,37.6221,-121.998
39,37.6251,-121.998
40,37.6285,-121.998
41,37.6315,-121.998
42,37.6345,-121.998
43,37.6378,-121.998
44,37.6408,-121.998
45,37.6439,-121.998
46,37.6469,-121.998
47,37.6502,-121.998
48,37.6532,-121.998
49,37.6562,-121.998
50,37.6596,-121.998
51,37.6626,-121.998
52,37.6656,-121.998
53,37.669,-121.998
54,37.672,-121.998
55,37.675,-121.998
56,37.678,-121.998
57,37.6813,-121.998
58,37.6844,-121.998
59,37.6874,-121.998
60,37.6907,-121.998
61,37.6937,-121.998
62,37.6003,-122.003
63,37.6033,-122.003
64,37.6067,-122.003
65,37.6097,-122.003
66,37.6127,-122.003
67,37.6157,-122.003
68,37.6191,-122.003
69,37.6221,-122.003
70,37.6251,-122.003
71,37.6285,-122.003
72,37.6315,-122.003
73,37.6345,-122.003
74,37.6378,-122.003
75,37.6408,-122.003
76,37.6439,-122.003
77,37.6469,-122.003
78,37.6502,-122.003
79,37.6532,-122.003
80,37.6562,-122.003
81,37.6596,-122.003
82,37.6626,-122.003
83,37.6656,-122.003
84,37.669,-122.003
85,37.672,-122.003
86,37.675,-122.003
87,37.678,-122.003
88,37.6813,-122.003
89,37.6844,-122.003
90,37.6874,-122.003
91,37.6907,-122.003
92,37.6937,-122.003
93,37.6003,-122.009
94,37.6033,-122.009
95,37.6067,-122.009
96,37.6097,-122.009
97,37.6127,-122.009
98,37.6157,-122.009
99,37.6191,-122.009
100,37.6221,-122.009
101,37.6251,-122.009
102,37.6285,-122.009
103,37.6315,-122.009
104,37.6345,-122.009
105,37.6378,-122.009
106,37.6408,-122.009
107,37.6439,-122.009
108,37.6469,-122.009
109,37.6502,-122.009
110,37.6532,-122.009
111,37.6562,-122.009
112,37.6596,-122.009
113,37.6626,-122.009
114,37.6656,-122.009
115,37.669,-122.009
116,37.672,-122.009
117,37.675,-122.009
118,37.678,-122.009
119,37.6813,-122.009
120,37.6844,-122.009
121,37.6874,-122.009
122,37.6907,-122.009
123,37.6937,-122.009
124,37.6003,-122.014
125,37.6033,-122.014
126,37.6067,-122.014
127,37.6097,-122.014
128,37.6127,-122.014
129,37.6157,-122.014
130,37.6191,-122.014
131,37.6221,-122.014
132,37.6251,-122.014
133,37.6285,-122.014
134,37.6315,-122.014
135,37.6345,-122.014
136,37.6378,-122.014
137,37.6408,-122.014
138,37.6439,-122.014
139,37.6469,-122.014
140,37.6502,-122.014
141,37.6532,-122.014
142,37.6562,-122.014
143,37.6596,-122.014
144,37.6626,-122.014
145,37.6656,-122.014
146,37.669,-122.014
147,37.672,-122.014
148,37.675,-122.014
149,37.678,-122.014
150,37.6813,-122.014
151,37.6844,-122.014
152,37.6874,-122.014
