id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,DayPopulation,geometry,DesignLevel,HeightClass,DS,DV
0,37.65973717234896,-121.92519598028456,7115.0,2.0,1992,3866878.99,2864354.81,W,W1,RES3A,RES3,3,0,POINT Z (-121.92519598028457 37.65973717234896 0),High-Code,,1,0.05800000000000001
1,37.65886605470638,-121.92559674829612,1534.0,1.0,1992,555247.3,226631.55,W,W1,AGR1,AGR1,0,1,POINT Z (-121.92559674829612 37.65886605470638 0),High-Code,,1,0.07882
2,37.660294762334495,-121.9262222165364,6660.0,1.0,1992,2206906.32,900778.09,W,W1,AGR1,AGR1,2,6,POINT Z (-121.92622221653639 37.660294762334495 0),High-Code,,1,0.05804
3,37.66014964706645,-121.92665700429713,1684.0,1.0,1992,607862.69,248107.22,W,W1,AGR1,AGR1,0,1,POINT Z (-121.92665700429711 37.66014964706645 0),High-Code,,1,0.06836
4,37.66052162036653,-121.9268804072834,1470.0,1.0,1992,532707.06,217431.45,W,W1,AGR1,AGR1,0,1,POINT Z (-121.92688040728339 37.66052162036653 0),High-Code,,1,0.07954
5,37.66000846307981,-121.92690637098822,3230.0,1.0,1992,1132726.97,462337.54,W,W1,AGR1,AGR1,0,2,POINT Z (-121.92690637098822 37.66000846307981 0),High-Code,,1,0.07950000000000002
6,37.65893322894752,-121.9254381975516,2997.0,1.0,1992,1055656.96,430880.39,W,W1,AGR1,AGR1,0,2,POINT Z (-121.9254381975516 37.65893322894752 0),High-Code,,1,0.08332
7,37.658402113242374,-121.92545311002164,10559.0,1.0,1992,3441908.08,1404860.44,W,W1,AGR1,AGR1,1,6,POINT Z (-121.92545311002164 37.658402113242374 0),High-Code,,1,0.06390000000000001
8,37.66067169483328,-121.92756986518336,1133.0,1.0,1992,462037.85,271786.97,W,W2,GOV1,GOV1,2,2,POINT Z (-121.92756986518337 37.66067169483328 0),High-Code,,1,0.0722
9,37.64964110388427,-122.00574492369589,1645.0,2.0,1993,1540004.44,1026669.63,W,W1,RES1,RES1,2,0,POINT Z (-122.00574492369589 37.64964110388427 0),High-Code,,1,0.10283999999999999
