id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,BuildingType,ReplacementCost,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,FootprintID,geometry,DesignLevel,HeightClass
0,37.653122892835455,-122.06669498315418,1264.0,1.0,1973.0,W,335580.06,W1,RES1,RES1,4.0,10034,POINT (-122.06669498315418 37.653122892835455),Moderate-Code,
1,37.62706003581367,-122.07255802806995,1161.0,1.0,1963.0,W,393182.73,W1,RES1,RES1,4.0,14340,POINT (-122.07255802806995 37.62706003581367),Moderate-Code,
2,37.64996451123506,-122.00547555090198,1553.5,2.0,1993.0,W,1480268.03,W1,RES1,RES1,2.0,36599,POINT (-122.00547555090198 37.64996451123506),High-Code,
3,37.65216142150827,-122.09647051394687,1633.0,1.0,1966.0,W,492548.39999999997,W1,RES1,RES1,2.0,13378,POINT (-122.09647051394687 37.65216142150827),Moderate-Code,
4,37.614830867002496,-122.03734991845708,1231.0,1.0,1959.0,W,565795.98,W1,RES1,RES1,3.0,15950,POINT (-122.03734991845708 37.614830867002496),Moderate-Code,
5,37.628063897128186,-122.0620755467487,1160.0,1.0,1977.0,W,374173.14,W1,RES1,RES1,4.0,2102,POINT (-122.0620755467487 37.628063897128186),High-Code,
6,37.63384699571685,-122.05749218822866,1726.0,1.0,1977.0,W,512163.76,W1,RES3B,RES3,10.0,771,POINT (-122.05749218822866 37.63384699571685),High-Code,
7,37.6592378784431,-122.11372043904875,1162.0,1.0,1959.0,W,377292.81,W1,RES1,RES1,3.0,9305,POINT (-122.11372043904875 37.6592378784431),Moderate-Code,
8,37.62884353586108,-122.09015045477064,1471.0,1.0,1956.0,W,595626.8,W1,RES1,RES1,4.0,25963,POINT (-122.09015045477064 37.62884353586108),Moderate-Code,
9,37.637050097952134,-122.0656566939664,728.5,2.0,1958.0,W,621316.42,W1,RES1,RES1,4.0,28702,POINT (-122.0656566939664 37.637050097952134),Moderate-Code,
