loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,1,1,1,1,2,0,2,2,1,1,2,2,2,1,0,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,2,3,1,2,2,2,0,2,1,1,1,1,0
1,1,1,2,1,0,1,1,2,2,1,2,1,1,3,2,1,1,2,2,2,2,1,2,0,1,1,2,1,1,2,2,2,1,0,1,2,0,2,2,2,1,1,1,2,0,2,2,1,1,1
2,1,1,2,1,3,1,1,2,1,1,1,1,2,2,1,2,2,2,0,2,1,2,2,2,1,2,1,1,3,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2
3,1,1,2,0,2,2,2,2,1,2,2,1,1,1,2,1,2,2,0,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,3,1,2,2,1,1,2,2,2,2,1,2,0,4,2,1
4,2,3,1,1,2,1,2,2,2,2,1,2,1,2,2,0,2,1,2,1,0,2,1,2,1,2,1,1,0,2,1,1,1,2,1,2,2,4,2,1,2,1,1,2,1,2,1,2,1,2
5,1,2,2,3,2,2,3,3,1,2,2,3,2,3,4,2,2,2,3,2,4,2,2,2,4,2,1,3,2,3,2,2,2,2,2,4,2,2,3,3,2,3,2,3,2,2,2,3,3,4
6,1,1,0,2,1,1,1,2,1,2,1,1,2,2,2,1,2,0,2,2,0,1,2,0,1,1,1,1,1,1,2,1,2,1,0,0,2,2,2,1,2,2,3,1,1,1,1,2,1,2
7,1,1,1,1,0,1,1,0,2,1,0,1,2,1,1,0,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,0,0,1,2,1,1,2,0,0,0,1,1,1,0,2,2,0,2,2
8,1,1,2,0,1,2,2,1,1,1,1,0,2,1,1,0,1,1,2,1,0,1,0,0,1,1,1,0,0,1,2,0,1,0,1,1,1,2,0,1,1,1,2,0,1,1,2,1,0,0
9,0,0,2,2,1,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,4,1,2,1,2,2,2,1,2,3,1,2,3,1,2,1
10,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,0,1,1,2,0,1,2,2,2,2,0,2,1,1,3,1,0,1,1,2,1,0,2,1,1,2,1,2,2,2
11,0,2,1,2,0,1,0,1,0,1,0,1,1,1,1,1,2,1,1,1,1,2,0,2,1,1,2,1,1,0,2,1,0,1,2,1,0,0,1,1,1,0,0,1,1,2,1,2,1,2
12,2,1,2,0,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,3,1,1,1,2,2,1,0,1,1,1,1,2,1,2,2,2,2,1,2,2,2
13,2,2,2,2,1,2,1,2,1,2,0,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,2,1,1,3,1,1,2
14,2,1,1,2,1,1,2,2,2,2,2,1,1,3,1,1,1,2,1,1,2,2,2,1,2,2,2,2,0,0,2,2,2,1,3,2,1,1,2,2,1,2,1,1,0,1,1,2,2,2
