loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,1,0,2,2,1,1,2,2,1,1,2,3,1,0,3,1,3,0,2,1,2,0,1,2,3,1,2,0,2,0,1,2,1,0,2,0,2,2,2,2,1,2,1,1,1,2,1,2,2
1,2,0,1,1,0,2,1,1,1,2,2,1,3,2,0,2,0,2,1,2,1,3,0,1,2,1,2,1,0,2,2,0,2,1,2,2,1,1,2,2,2,2,1,0,1,2,2,1,0,3
2,0,1,0,1,1,0,0,1,2,1,1,1,4,2,0,4,2,2,1,1,0,3,1,0,1,2,1,1,0,2,1,1,2,1,1,2,0,1,2,2,2,1,1,0,2,2,2,1,2,1
3,0,2,1,1,2,0,1,1,1,2,1,2,3,2,0,4,1,1,1,2,0,2,0,1,2,2,1,2,0,2,2,1,2,1,1,2,0,1,1,3,2,1,1,2,1,2,2,0,1,2
4,1,1,0,2,0,1,1,2,4,1,0,1,4,2,0,4,0,2,0,1,0,2,1,2,3,2,0,0,0,2,1,2,2,0,1,4,0,1,3,1,1,2,2,0,1,1,2,1,1,2
5,1,2,1,2,1,1,2,3,1,2,0,2,3,3,0,4,1,2,0,1,0,3,0,1,2,1,1,2,0,4,1,0,2,2,2,3,0,2,2,1,2,1,1,0,3,2,2,1,2,2
6,0,1,2,3,1,2,2,3,3,2,1,3,3,1,0,4,1,1,1,1,1,2,1,1,2,2,1,1,0,2,1,1,3,2,2,1,1,1,2,2,2,2,2,1,2,2,0,2,2,2
7,2,0,0,1,0,0,2,2,2,0,1,2,3,2,0,4,2,1,0,1,1,2,0,0,1,1,2,2,2,3,1,3,2,1,2,2,1,1,2,2,2,2,2,0,2,2,2,1,2,2
8,1,1,0,0,1,1,2,1,2,2,0,3,4,1,0,4,1,2,0,2,0,2,0,2,2,2,1,2,0,2,0,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,4,1,2,2
9,2,0,1,1,0,0,2,0,1,2,0,1,4,2,0,3,0,1,0,1,1,3,1,1,2,1,1,2,0,3,1,0,2,2,2,2,0,1,2,1,2,2,0,2,3,2,2,2,2,2
10,0,0,0,1,1,2,2,1,4,2,2,2,2,2,0,2,2,3,2,1,1,3,1,0,2,4,1,2,0,3,0,3,1,1,0,3,2,2,2,2,2,1,1,1,2,1,2,1,2,2
11,0,0,2,1,0,2,1,2,1,2,0,2,3,1,0,4,1,2,2,1,2,2,0,1,3,0,2,2,0,3,1,2,2,1,2,2,0,1,2,2,1,2,2,1,2,2,0,1,2,2
12,1,1,1,1,2,2,1,1,1,2,0,1,2,2,0,3,2,1,2,2,0,4,1,2,2,2,1,2,0,4,1,4,1,2,2,1,1,2,2,2,2,2,0,0,2,2,2,0,2,1
13,1,1,1,2,1,1,2,2,2,2,1,2,2,2,0,3,2,1,0,1,1,3,0,1,2,1,1,1,0,2,0,2,1,1,2,1,0,1,2,1,1,1,0,1,2,2,2,1,1,1
14,2,1,1,1,0,1,2,2,4,1,0,1,5,1,0,4,0,1,1,1,1,2,0,1,1,2,1,2,0,1,1,1,2,2,1,3,0,2,3,1,1,1,1,0,3,2,2,0,1,1
15,0,2,0,2,2,0,2,1,1,4,0,2,4,1,0,4,2,2,2,1,1,4,0,3,4,2,2,0,0,3,1,1,4,2,2,2,1,2,2,2,2,1,0,1,3,2,2,2,1,2
16,2,0,0,3,2,2,3,2,2,2,2,1,3,2,0,4,2,2,2,1,2,3,0,0,2,2,1,2,1,4,0,1,2,1,2,2,2,2,4,2,2,2,0,1,2,2,1,2,4,2
17,1,1,2,2,2,2,2,0,1,2,0,1,4,2,0,3,2,2,1,2,1,3,1,0,3,2,2,2,0,3,2,2,2,0,1,3,0,3,2,1,2,2,0,2,1,2,2,2,3,2
18,1,1,0,1,2,1,2,2,2,2,0,2,2,2,0,3,2,1,1,0,0,3,2,2,2,2,2,2,1,3,0,1,2,1,0,2,0,1,2,0,2,2,1,1,2,2,1,1,2,2
19,0,1,1,1,2,0,2,0,2,2,1,2,2,0,1,2,1,2,2,0,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,3,1,1,1,1,1,2,2,2,2,2,2
20,1,1,2,3,2,1,2,2,2,2,2,2,3,2,0,2,2,3,0,2,0,4,1,2,3,2,3,2,0,4,1,2,1,1,3,2,0,2,4,2,1,2,1,0,3,2,2,0,4,2
21,3,2,2,4,2,2,3,2,4,4,2,3,4,4,0,4,3,4,3,2,1,4,2,3,4,2,3,1,0,3,3,3,3,1,4,4,1,3,3,3,4,3,3,3,3,2,2,3,4,3
22,2,3,1,2,4,3,3,3,3,3,1,4,4,3,0,4,3,3,2,1,1,4,2,2,4,2,3,4,2,4,3,3,4,3,4,2,1,3,3,3,4,3,3,2,4,4,3,3,2,3
23,0,1,2,2,0,0,2,2,2,1,2,2,2,2,0,4,1,1,2,2,1,2,0,2,2,0,0,1,0,2,1,2,5,1,1,2,0,2,2,1,1,1,1,1,4,2,2,0,0,3
24,0,1,0,2,0,0,1,2,1,3,2,1,3,1,0,4,1,1,0,1,0,2,0,1,2,1,2,1,1,2,0,1,2,2,0,2,1,1,2,1,1,0,1,1,2,1,1,2,2,1
25,0,1,0,1,1,0,1,1,2,2,0,1,3,2,0,3,1,2,1,1,1,3,0,1,2,0,0,1,0,1,1,2,2,1,0,2,0,1,2,1,1,1,1,1,1,2,1,1,1,2
26,2,1,0,1,2,0,2,2,2,1,1,2,2,2,0,2,1,1,0,1,1,2,0,0,2,2,0,1,1,2,1,1,3,0,0,1,0,1,2,1,1,1,1,1,2,1,1,1,0,2
27,0,2,0,1,0,0,2,2,1,1,0,2,2,2,0,5,0,2,1,1,1,2,1,0,1,2,1,1,0,0,0,2,2,1,0,2,0,1,1,0,0,2,1,0,3,1,1,1,2,1
28,0,1,0,2,1,1,2,2,2,2,0,2,2,3,0,3,1,2,0,2,0,2,0,2,1,0,3,2,0,2,1,1,3,2,2,3,0,0,2,2,2,2,1,1,3,2,1,1,2,2
29,3,2,0,2,2,1,4,2,3,3,1,1,4,3,0,4,2,2,2,1,1,4,0,2,4,2,2,2,0,4,2,2,2,1,2,2,2,1,2,2,3,3,1,2,3,2,2,3,2,3
30,2,2,2,0,1,0,1,2,1,2,0,2,4,1,0,3,2,2,2,0,0,2,0,2,1,1,1,0,0,4,2,2,2,2,0,2,0,2,2,1,2,2,1,0,2,2,2,2,1,0
31,2,0,1,2,1,1,2,1,2,3,1,2,4,1,0,4,2,2,0,1,1,2,0,2,3,0,2,1,0,3,0,0,4,0,1,3,1,2,2,2,1,0,0,0,3,2,2,2,2,3
32,2,0,0,4,1,1,1,2,2,1,1,3,4,2,0,4,2,0,1,1,1,2,1,1,2,2,2,1,0,2,0,2,3,0,0,2,1,2,1,0,1,1,2,1,2,2,1,0,1,2
33,2,1,0,2,1,1,2,2,2,1,1,2,2,1,0,4,1,1,2,1,1,3,0,1,2,2,2,1,0,2,1,2,1,0,2,2,1,1,1,3,1,1,2,1,2,2,2,0,1,2
34,2,1,1,1,0,0,1,1,4,2,1,1,2,2,0,4,3,1,0,1,0,2,0,2,1,1,1,2,0,2,0,2,3,1,0,1,1,0,1,1,2,1,0,1,2,1,1,2,2,1
35,0,1,0,4,0,2,2,2,2,1,1,1,3,2,0,4,2,2,0,1,0,2,0,3,1,2,1,0,0,4,1,2,2,0,1,1,0,0,3,2,1,1,0,1,1,1,1,1,2,2
36,1,3,1,2,2,2,3,2,2,2,2,3,3,2,0,4,2,2,1,2,1,4,0,2,4,1,1,1,2,3,2,2,3,1,2,3,1,1,3,2,3,2,0,1,2,2,2,1,2,3
37,1,1,0,0,0,0,0,1,1,1,1,2,2,0,0,3,2,2,1,0,0,1,0,1,3,1,0,1,0,0,1,1,3,1,0,3,1,2,2,1,1,1,0,0,2,1,0,2,1,2
38,1,1,1,2,2,2,3,2,2,2,0,2,4,0,0,4,2,2,0,1,1,5,0,0,2,2,1,1,1,3,1,3,3,1,1,2,0,3,3,0,2,0,1,0,1,1,1,2,3,2
39,1,0,1,1,1,2,2,0,0,1,1,2,4,1,0,3,2,1,0,2,1,1,0,1,3,2,2,2,2,3,2,2,2,0,1,3,1,2,3,2,2,1,1,1,2,2,3,1,2,2
40,2,1,1,3,3,1,5,4,5,3,1,3,4,3,1,4,3,4,2,2,2,4,3,2,3,2,4,3,2,4,2,3,3,2,2,3,2,4,4,2,3,2,3,3,2,2,3,4,3,4
41,0,1,0,1,3,0,1,2,1,1,0,1,4,2,1,2,1,2,2,1,0,2,0,1,3,1,1,2,0,2,1,2,2,2,0,1,1,1,2,2,2,2,2,0,2,2,2,0,1,2
42,1,1,1,2,2,1,2,2,1,1,0,2,4,2,0,5,2,2,2,2,0,2,0,0,2,1,1,1,0,3,1,2,2,1,0,4,1,1,2,0,2,1,2,0,2,2,1,2,2,1
43,1,1,0,2,1,0,1,2,1,1,1,2,2,0,0,3,1,1,1,1,0,2,0,1,2,1,0,1,0,1,1,2,2,1,1,1,0,1,2,2,0,1,1,1,3,2,1,1,0,2
44,1,1,1,2,1,0,2,2,2,2,1,3,3,2,0,3,2,2,1,1,1,2,2,0,1,2,1,2,1,4,2,2,3,1,1,2,2,1,2,1,0,2,2,0,2,1,2,2,1,2
45,0,0,1,1,2,1,2,2,2,2,2,2,3,1,0,4,1,2,2,2,1,2,1,0,2,1,2,2,1,2,2,1,3,0,2,2,0,2,4,1,1,1,2,0,2,1,2,1,1,2
46,0,0,1,1,2,2,3,2,2,1,1,1,2,2,0,3,2,2,1,1,1,3,1,0,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,0,4,2,1,1,2,3
47,2,0,1,0,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,0,1,2,0,0,3,2,1,2,1,2,1,2,3,1,2,2,1,2,4,2,2,2,1,0,2,2,2,2,1,2
48,0,1,1,1,2,2,2,1,2,2,0,2,2,2,1,3,2,2,1,0,0,3,0,2,2,2,1,2,1,2,2,3,4,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2
49,1,1,2,2,2,2,2,0,1,2,1,3,2,2,0,3,2,0,0,1,1,3,0,2,2,2,2,1,1,2,1,3,4,0,0,2,1,1,2,1,0,0,1,0,2,2,2,2,2,2
50,2,1,0,1,2,2,2,2,1,2,2,2,4,2,0,3,1,1,1,2,1,3,1,1,3,2,2,1,1,2,1,4,4,1,1,1,0,2,2,2,0,2,1,0,2,1,2,2,1,3
51,1,1,1,1,2,1,1,1,1,1,1,2,2,1,0,3,0,0,0,1,1,2,0,1,2,2,2,1,0,2,1,2,2,1,1,1,1,1,1,2,0,2,1,1,2,1,1,2,1,2
52,0,1,0,1,1,1,3,3,2,1,1,4,2,2,0,4,3,2,2,1,1,4,1,1,3,2,1,1,1,4,1,5,3,2,2,2,0,1,4,1,2,2,1,2,2,1,3,2,2,3
53,0,1,1,2,2,2,2,1,1,1,1,4,1,2,0,3,2,1,0,1,1,3,1,1,2,2,1,1,1,3,2,3,3,1,1,2,0,1,2,3,0,2,1,1,2,1,2,3,1,2
54,2,2,0,3,2,1,2,2,2,2,0,3,2,2,0,3,2,2,1,1,0,2,1,1,3,2,2,1,0,2,1,3,2,1,1,0,0,2,2,1,2,1,0,2,2,3,2,2,3,2
55,1,1,0,1,2,2,2,2,1,3,0,1,4,2,0,3,2,1,1,2,0,2,0,4,2,2,2,2,1,4,2,0,4,1,2,2,1,1,1,1,2,1,0,0,2,2,3,1,2,1
56,0,0,0,2,1,1,1,0,2,2,0,2,3,1,0,2,0,1,1,1,0,2,0,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,2,1,1,0,2,0,2,1,1,2,2,2
57,1,1,1,3,2,1,2,2,3,2,0,2,3,1,0,4,4,3,0,2,1,3,2,1,4,2,1,2,1,4,2,2,4,1,2,1,0,1,4,2,1,1,1,1,3,2,1,0,2,2
58,1,2,1,2,2,1,2,2,4,2,1,2,4,2,2,4,3,1,0,2,0,5,2,2,2,1,2,2,0,2,1,2,2,2,2,1,1,2,4,2,2,0,2,1,2,2,1,2,4,2
59,1,1,0,1,1,1,1,2,1,1,0,2,4,1,0,4,2,1,2,1,0,2,0,0,2,2,1,0,0,1,1,1,2,1,1,2,0,2,2,1,1,2,0,1,3,2,0,0,2,1
60,0,1,1,1,1,1,1,2,2,2,1,2,2,1,0,3,2,1,1,1,1,1,0,1,3,2,1,0,0,1,1,1,2,1,1,2,1,0,2,2,1,1,0,0,2,1,0,0,2,2
61,0,2,0,1,1,0,2,1,1,1,0,1,2,1,0,3,3,1,2,0,1,2,0,2,1,1,0,2,0,1,0,1,1,1,1,1,0,1,3,0,0,2,0,2,2,1,1,2,2,1
62,1,2,1,1,2,1,3,2,2,1,0,2,4,2,0,3,2,3,2,1,1,3,0,2,2,2,2,2,1,2,0,3,2,1,2,1,0,3,4,1,1,1,1,2,4,2,2,1,2,4
63,0,1,0,1,0,0,0,1,2,2,0,1,2,1,0,4,1,2,1,1,0,2,0,1,3,1,1,1,1,3,2,1,2,1,1,2,0,1,3,1,2,1,1,2,0,1,1,1,1,1
