id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,geometry,DesignLevel,HeightClass
0,37.663408439553336,-122.07575996374943,1412.0,1.0,1968,382593.46,W,W1,RES3B,RES1,6,POINT Z (-122.07575996374943 37.663408439553336 0),Moderate-Code,
1,37.67341382172386,-122.08111857140358,671.49,3.0,1975,690322.62,W,W2,COM8,COM8,1,POINT Z (-122.08111857140358 37.67341382172386 0),High-Code,
2,37.627433968414145,-122.06024751518818,723.5,2.0,1977,355115.36,W,W1,RES1,RES1,2,POINT Z (-122.06024751518818 37.627433968414145 0),High-Code,
3,37.66693317036071,-122.08499424779573,690.5,2.0,1971,337424.23,W,W1,RES1,RES1,2,POINT Z (-122.08499424779573 37.66693317036071 0),Moderate-Code,
4,37.62691374794282,-122.04298142049326,911.135,2.0,1960,659835.36,W,RM1,IND5,IND5,0,POINT Z (-122.04298142049326 37.62691374794282 0),Moderate-Code,Low-Rise
5,37.64641016262085,-122.08237680843102,13662.0,1.0,1960,3092556.53,W,W1,RES3C,RES3,5,POINT Z (-122.08237680843102 37.64641016262085 0),Moderate-Code,
6,37.63863739154489,-122.0871064706245,1406.0,1.0,1978,348195.77,W,W1,RES1,RES1,4,POINT Z (-122.0871064706245 37.63863739154489 0),High-Code,
7,37.63536656361542,-122.07488035976155,1060.0,1.0,1972,278845.53,C,C2,GOV1,GOV1,2,POINT Z (-122.07488035976155 37.63536656361542 0),Moderate-Code,Low-Rise
8,37.677970097905245,-122.07402038531116,1825.0,1.0,1962,428819.89,W,W1,RES1,RES1,2,POINT Z (-122.07402038531116 37.677970097905245 0),Moderate-Code,
9,37.6399975307182,-122.08148448612152,1272.0,1.0,1960,320709.63,W,W1,RES1,RES1,3,POINT Z (-122.08148448612152 37.6399975307182 0),Moderate-Code,
10,37.67771078583348,-122.0771223624512,3251.0,1.0,1975,1128045.05,C,PC2,COM4,COM4,0,POINT Z (-122.0771223624512 37.67771078583348 0),High-Code,Low-Rise
11,37.67643706948052,-122.09053435511777,1077.0,1.0,1957,239446.07,W,W1,RES1,RES1,2,POINT Z (-122.09053435511777 37.67643706948052 0),Moderate-Code,
12,37.62297708511127,-122.07611604575042,1918.0,1.0,1963,658438.59,C,C2,COM8,COM8,2,POINT Z (-122.07611604575042 37.62297708511127 0),Moderate-Code,Low-Rise
13,37.66689749790821,-122.09765266529593,1277.0,1.0,2008,358018.69,W,W1,RES3A,RES1,7,POINT Z (-122.09765266529593 37.66689749790821 0),High-Code,
14,37.639490349737194,-122.09599644481447,1332.0,1.0,1959,248347.36,W,W1,RES1,RES1,4,POINT Z (-122.09599644481447 37.639490349737194 0),Moderate-Code,
15,37.65523220917045,-122.056015032149,68.91333333333334,3.0,1983,51698.83,S,S1,COM3,COM3,2,POINT Z (-122.056015032149 37.65523220917045 0),High-Code,Low-Rise
16,37.65970981018292,-122.09807817406941,1052.0,1.0,1972,291144.85,W,W1,RES1,RES1,2,POINT Z (-122.09807817406941 37.65970981018292 0),Moderate-Code,
17,37.63899211000006,-122.06614326899997,1180.0,2.0,1958,670044.12,W,W1,RES1,RES1,2,POINT Z (-122.06614326899997 37.63899211000006 0),Moderate-Code,
18,37.64720993309665,-122.0768914015848,915.5,2.0,1958,568025.17,W,W1,RES1,RES1,4,POINT Z (-122.0768914015848 37.64720993309665 0),Moderate-Code,
19,37.61939707059254,-122.0675036395464,1154.0,2.0,1978,545552.37,W,W1,RES1,RES1,4,POINT Z (-122.0675036395464 37.61939707059254 0),High-Code,
20,37.68315184382447,-122.06658933566392,2371.0,1.0,1962,501216.74,W,W1,RES1,RES1,2,POINT Z (-122.06658933566392 37.68315184382447 0),Moderate-Code,
21,37.677357875263354,-122.09064408563029,2085.735,2.0,1957,1011072.67,W,W1,RES3D,RES3,24,POINT Z (-122.09064408563029 37.677357875263354 0),Moderate-Code,
22,37.62203031075412,-122.07523288905553,1712.0,1.0,1963,589958.6,M,RM2,COM8,COM8,2,POINT Z (-122.07523288905553 37.62203031075412 0),Moderate-Code,Low-Rise
23,37.62953993043983,-122.07769171780518,1000.0,1.0,1963,261953.47,W,W1,RES1,RES1,4,POINT Z (-122.07769171780518 37.62953993043983 0),Moderate-Code,
24,37.64108979449224,-122.09281099776622,1285.0,1.0,1959,242199.62,W,W1,RES1,RES1,4,POINT Z (-122.09281099776622 37.64108979449224 0),Moderate-Code,
25,37.61836778449203,-122.0926373435378,1404.0,1.0,2000,504215.74,W,W1,RES1,RES1,2,POINT Z (-122.0926373435378 37.61836778449203 0),High-Code,
26,37.63977658878169,-122.10172235392676,1359.0,1.0,1959,347881.55,W,W1,RES1,RES1,2,POINT Z (-122.10172235392676 37.63977658878169 0),Moderate-Code,
27,37.62297881071899,-122.06448849780034,9481.0,1.0,1977,939984.26,H,MH,RES2,RES2,3,POINT Z (-122.06448849780034 37.62297881071899 0),High-Code,
28,37.662997445610024,-122.09558506846784,1500.0,1.0,2008,404152.25,W,W1,RES3A,RES1,2,POINT Z (-122.09558506846784 37.662997445610024 0),High-Code,
29,37.63074804733896,-122.10480620873561,1128.0,1.0,2000,554302.54,W,W1,RES1,RES1,4,POINT Z (-122.10480620873561 37.63074804733896 0),High-Code,
30,37.65275674132333,-122.05260753234927,14546.5025,4.0,1983,12244905.77,M,RM1,RES3D,RES3,53,POINT Z (-122.05260753234927 37.65275674132333 0),High-Code,Mid-Rise
31,37.6549268924066,-122.09482217989937,1196.0,1.0,1966,314178.66,W,W1,RES1,RES1,3,POINT Z (-122.09482217989937 37.6549268924066 0),Moderate-Code,
32,37.65889179486763,-122.08046598580371,1381.0,1.0,1958,289109.62,W,W1,RES1,RES1,3,POINT Z (-122.08046598580371 37.65889179486763 0),Moderate-Code,
33,37.6433947679085,-122.08535208724496,1059.0,1.0,1978,273177.33,W,W1,RES1,RES1,3,POINT Z (-122.08535208724496 37.6433947679085 0),High-Code,
34,37.6425276716219,-122.06492709670111,1151.0,1.0,1958,379729.05,W,W1,RES1,RES1,3,POINT Z (-122.06492709670111 37.6425276716219 0),Moderate-Code,
35,37.63615956373614,-122.0802840370617,1210.0,1.0,1958,316203.81,W,W1,RES1,RES1,3,POINT Z (-122.0802840370617 37.63615956373614 0),Moderate-Code,
36,37.64774368016402,-122.03327400036424,1124.0,2.0,1993,871252.72,W,W1,RES1,RES1,2,POINT Z (-122.03327400036424 37.64774368016402 0),High-Code,
37,37.63817504171687,-122.09597209872082,1128.0,1.0,1959,219945.59,W,W1,RES1,RES1,3,POINT Z (-122.09597209872082 37.63817504171687 0),Moderate-Code,
38,37.65184483397533,-122.06950066368402,5467.0,1.0,1973,1223025.41,W,W1,RES3A,RES1,2,POINT Z (-122.06950066368402 37.65184483397533 0),Moderate-Code,
39,37.62701956072193,-122.0512351307618,1500.0,1.0,1984,404152.25,C,W1,RES3A,RES1,2,POINT Z (-122.0512351307618 37.62701956072193 0),High-Code,
40,37.6198853252344,-122.08717699199617,1735.83,1.0,1966,407644.9,W,W1,RES1,RES1,4,POINT Z (-122.08717699199617 37.6198853252344 0),Moderate-Code,
41,37.639373069238744,-122.12427056163257,26586.0,1.0,2000,5805927.42,S,S2,IND2,IND2,0,POINT Z (-122.12427056163257 37.639373069238744 0),High-Code,Low-Rise
42,37.66511977601498,-122.10161692360882,792.0,1.0,1972,219188.9,W,W1,RES1,RES1,4,POINT Z (-122.10161692360882 37.66511977601498 0),Moderate-Code,
43,37.62731839405655,-122.1031945555585,1740.0,1.0,2000,448359.16,W,W1,RES3A,RES1,5,POINT Z (-122.1031945555585 37.62731839405655 0),High-Code,
44,37.67096072523487,-122.07872499167492,616.0,1.0,1975,142757.12,W,W1,RES1,RES1,2,POINT Z (-122.07872499167492 37.67096072523487 0),High-Code,
45,37.63686128623896,-122.11350305025037,240556.0,1.0,1984,50623604.39,W,W1,RES3C,RES3,2,POINT Z (-122.11350305025037 37.63686128623896 0),High-Code,
46,37.66670489047606,-122.09394064231805,926.0,1.0,2008,396581.61,W,W1,RES1,RES1,4,POINT Z (-122.09394064231805 37.66670489047606 0),High-Code,
47,37.65540733034038,-122.00968032814195,1160.0,1.0,1993,403802.84,C,C1,COM8,COM8,0,POINT Z (-122.00968032814195 37.65540733034038 0),High-Code,Low-Rise
48,37.639517836247634,-122.09303148809308,1831.0,1.0,1959,301819.97,W,W1,RES1,RES1,2,POINT Z (-122.09303148809308 37.639517836247634 0),Moderate-Code,
49,37.62314749760261,-122.07441602402909,2038.0,1.0,1963,698081.53,C,C3,COM8,COM8,0,POINT Z (-122.07441602402909 37.62314749760261 0),Low-Code,Low-Rise
