id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,NightPopulation,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
0,37.62644357080108,-122.0399451750666,1392.0,1.0,1960.0,542928.22,361952.15,W1,W,RES1,RES1,1.0,2.0,60014380001003,6001438000,27133,POINT (-122.0399451750666 37.62644357080108),Moderate-Code,
1,37.62488765754233,-122.05804451359532,1002.5,2.0,1977.0,541483.95,360989.3,W1,W,RES1,RES1,1.0,1.0,60014382043017,6001438204,4506,POINT (-122.05804451359532 37.62488765754233),High-Code,
2,37.63115745876871,-122.0720146202853,2376.0,2.0,1978.0,1218287.06,902434.86,W1,W,RES1,RES3B,4.0,13.0,60014382032011,6001438203,18049,POINT (-122.0720146202853 37.63115745876871),High-Code,
3,37.64301276390572,-122.0763549485764,1374.0,1.0,1960.0,411048.21,274032.14,W1,W,RES1,RES1,1.0,5.0,60014375002014,6001437500,36258,POINT (-122.0763549485764 37.64301276390572),Moderate-Code,
4,37.649883190629566,-122.09595060104121,1116.0,1.0,1966.0,366316.41000000003,244210.94,W1,W,RES1,RES1,1.0,4.0,60014368002005,6001436800,35080,POINT (-122.09595060104121 37.649883190629566),Moderate-Code,
5,37.62419789427102,-122.08122414676188,1224.0,1.0,1966.0,412491.32,274994.21,W1,W,RES1,RES1,1.0,4.0,60014384002000,6001438400,17457,POINT (-122.08122414676188 37.62419789427102),Moderate-Code,
6,37.62927058273239,-122.09459174660776,1128.0,1.0,1956.0,462083.14,308055.43,W1,W,RES1,RES1,1.0,4.0,60014383003008,6001438300,21396,POINT (-122.09459174660776 37.62927058273239),Moderate-Code,
7,37.666352309673634,-122.09335970612455,791.0,2.0,2008.0,938795.97,625863.98,W1,W,RES1,RES1,1.0,4.0,60014363012003,6001436301,23618,POINT (-122.09335970612455 37.666352309673634),High-Code,
8,37.646778481568404,-122.1156003801737,674.5,2.0,1984.0,845436.8999999999,563624.6,W1,W,RES1,RES3A,2.0,6.0,60014372005008,6001437200,4582,POINT (-122.1156003801737 37.646778481568404),High-Code,
9,37.65699376239654,-122.08097477737168,1193.0,1.0,1958.0,274733.92000000004,183155.95,W1,W,RES1,RES1,1.0,3.0,60014366011005,6001436601,27100,POINT (-122.08097477737168 37.65699376239654),Moderate-Code,
